trade_id,trader_id,ticker,trade_date,trade_time,side,quantity,price,trade_value
T00000034,TRD0001,HDFCBANK,2022-01-25,2022-01-25 11:19:00,BUY,128,1634.69,209240.58
T00000035,TRD0001,AAPL,2021-08-18,2021-08-18 10:59:00,SELL,110,1521.8,167397.81
T00000036,TRD0001,GOOGL,2025-05-29,2025-05-29 12:43:00,SELL,153,1110.44,169897.52
T00000037,TRD0001,MSFT,2024-02-21,2024-02-21 09:17:00,SELL,151,3454.15,521577.36
T00000038,TRD0001,AAPL,2022-11-02,2022-11-02 12:59:00,BUY,13,1357.79,17651.31
T00000039,TRD0001,TSLA,2025-01-20,2025-01-20 11:24:00,SELL,41,968.45,39706.34
T00000040,TRD0001,AMZN,2023-12-01,2023-12-01 11:31:00,BUY,100,537.84,53784.3
T00000041,TRD0001,HDFCBANK,2023-10-02,2023-10-02 14:27:00,SELL,133,2028.73,269821.56
T00000042,TRD0001,TSLA,2024-03-18,2024-03-18 09:08:00,BUY,78,687.37,53614.57
T00000043,TRD0001,GOOGL,2023-06-07,2023-06-07 09:21:00,SELL,164,1061.82,174137.95
T00000044,TRD0001,HDFCBANK,2023-06-16,2023-06-16 11:35:00,SELL,107,1966.7,210436.9
T00000045,TRD0001,TSLA,2024-05-02,2024-05-02 13:13:00,BUY,34,689.34,23437.51
T00000046,TRD0001,AAPL,2024-04-10,2024-04-10 10:29:00,SELL,129,2052.82,264814.29
T00000047,TRD0001,AMZN,2023-01-03,2023-01-03 12:36:00,BUY,73,461.95,33722.37
T00000048,TRD0001,HDFCBANK,2024-06-20,2024-06-20 10:32:00,BUY,149,2447.38,364659.85
T00000049,TRD0001,HDFCBANK,2021-09-29,2021-09-29 13:30:00,SELL,17,1349.09,22934.61
T00000050,TRD0001,AAPL,2025-06-17,2025-06-17 11:10:00,BUY,112,3003.86,336432.68
T00000051,TRD0001,MSFT,2024-07-09,2024-07-09 14:24:00,SELL,11,4868.87,53557.52
T00000052,TRD0001,MSFT,2022-02-23,2022-02-23 14:25:00,BUY,32,2071.84,66298.77
T00000053,TRD0001,MSFT,2024-05-17,2024-05-17 11:09:00,SELL,179,4488.21,803389.75
T00000054,TRD0001,GOOGL,2022-02-18,2022-02-18 10:34:00,BUY,182,789.27,143647.28
T00000055,TRD0001,AMZN,2025-03-03,2025-03-03 12:55:00,BUY,12,853.86,10246.36
T00000056,TRD0001,HDFCBANK,2021-12-02,2021-12-02 13:50:00,BUY,36,1575.53,56718.94
T00000057,TRD0001,AAPL,2024-01-09,2024-01-09 14:28:00,BUY,87,1951.71,169798.79
T00000058,TRD0001,AAPL,2025-01-29,2025-01-29 11:24:00,SELL,68,3000.54,204036.56
T00000059,TRD0001,TSLA,2025-08-08,2025-08-08 09:58:00,SELL,43,914.14,39307.87
T00000060,TRD0001,MSFT,2023-06-28,2023-06-28 13:31:00,SELL,71,4678.7,332187.75
T00000061,TRD0001,MSFT,2024-04-05,2024-04-05 14:11:00,BUY,123,4081.83,502065.04
T00000062,TRD0001,TSLA,2021-01-28,2021-01-28 11:38:00,BUY,125,312.68,39084.69
T00000063,TRD0001,AMZN,2024-01-11,2024-01-11 12:23:00,SELL,140,650.09,91012.87
T00000064,TRD0001,AAPL,2024-10-08,2024-10-08 12:58:00,BUY,35,2472.63,86542.05
T00000065,TRD0001,HDFCBANK,2024-05-29,2024-05-29 09:53:00,SELL,116,2416.16,280274.76
T00000066,TRD0001,MSFT,2025-07-02,2025-07-02 10:14:00,BUY,15,9762.99,146444.87
T00000067,TRD0001,HDFCBANK,2021-09-09,2021-09-09 13:47:00,BUY,93,1231.55,114533.97
T00000068,TRD0001,HDFCBANK,2024-09-30,2024-09-30 09:00:00,BUY,82,2425.85,198919.88
T00000069,TRD0001,AAPL,2022-03-30,2022-03-30 12:13:00,BUY,161,1103.2,177615.33
T00000070,TRD0001,RELIANCE,2024-02-29,2024-02-29 09:13:00,BUY,131,1549.87,203032.77
T00000071,TRD0001,HDFCBANK,2021-05-27,2021-05-27 14:01:00,SELL,55,1272.35,69979.09
T00000072,TRD0001,MSFT,2023-07-06,2023-07-06 12:25:00,BUY,88,4754.95,418435.92
T00000073,TRD0001,HDFCBANK,2021-04-15,2021-04-15 13:44:00,SELL,19,1337.86,25419.28
T00000074,TRD0001,AMZN,2025-03-28,2025-03-28 09:28:00,SELL,196,781.22,153119.19
T00000075,TRD0001,AAPL,2023-10-24,2023-10-24 13:13:00,SELL,127,1976.0,250951.77
T00000076,TRD0001,TSLA,2022-06-14,2022-06-14 09:59:00,BUY,147,602.26,88532.26
T00000077,TRD0001,AMZN,2021-06-11,2021-06-11 10:42:00,SELL,193,682.43,131708.42
T00000078,TRD0001,GOOGL,2023-03-23,2023-03-23 14:16:00,SELL,170,1194.71,203100.13
T00000079,TRD0001,AMZN,2024-08-09,2024-08-09 11:05:00,BUY,48,761.09,36532.38
T00000080,TRD0001,AMZN,2023-05-30,2023-05-30 11:08:00,SELL,71,479.27,34028.52
T00000081,TRD0001,TSLA,2024-05-24,2024-05-24 10:09:00,BUY,22,724.2,15932.43
T00000082,TRD0001,AMZN,2021-03-05,2021-03-05 12:33:00,SELL,130,712.21,92587.83
T00000083,TRD0001,AAPL,2023-12-21,2023-12-21 11:45:00,BUY,179,1934.88,346343.2
T00000084,TRD0001,AMZN,2022-06-30,2022-06-30 13:43:00,SELL,124,352.06,43655.54
T00000085,TRD0001,TSLA,2022-07-20,2022-07-20 13:30:00,SELL,155,605.01,93777.29
T00000086,TRD0001,HDFCBANK,2025-10-17,2025-10-17 12:00:00,SELL,48,2387.33,114591.75
T00000087,TRD0001,AAPL,2023-09-15,2023-09-15 10:54:00,BUY,146,1820.01,265721.15
T00000088,TRD0001,AMZN,2023-07-10,2023-07-10 14:11:00,SELL,95,483.59,45941.27
T00000089,TRD0001,TSLA,2022-05-04,2022-05-04 13:49:00,SELL,80,621.93,49754.42
T00000090,TRD0001,RELIANCE,2025-01-28,2025-01-28 12:05:00,SELL,95,1963.64,186545.72
T00000091,TRD0001,AAPL,2021-06-15,2021-06-15 12:52:00,SELL,180,1693.08,304753.91
T00000092,TRD0001,MSFT,2022-12-30,2022-12-30 13:34:00,SELL,165,2973.31,490595.87
T00000093,TRD0001,GOOGL,2021-02-11,2021-02-11 14:39:00,BUY,63,546.44,34425.99
T00000094,TRD0001,HDFCBANK,2021-04-02,2021-04-02 09:01:00,BUY,136,1365.04,185646.04
T00000095,TRD0001,RELIANCE,2025-06-20,2025-06-20 09:44:00,BUY,75,2129.3,159697.81
T00000096,TRD0001,HDFCBANK,2023-02-27,2023-02-27 09:53:00,SELL,171,1555.71,266026.88
T00000097,TRD0001,HDFCBANK,2025-05-15,2025-05-15 10:56:00,SELL,128,3315.64,424402.22
T00000098,TRD0001,TSLA,2022-06-17,2022-06-17 14:44:00,SELL,164,581.84,95421.55
T00000099,TRD0001,GOOGL,2023-10-02,2023-10-02 10:54:00,BUY,61,1002.16,61131.88
T00000100,TRD0001,GOOGL,2022-09-16,2022-09-16 09:36:00,BUY,146,1175.02,171552.91
T00000101,TRD0001,AAPL,2022-12-12,2022-12-12 14:46:00,SELL,140,1208.57,169200.49
T00000102,TRD0001,RELIANCE,2024-10-14,2024-10-14 13:57:00,BUY,68,2341.92,159250.41
T00000103,TRD0001,TSLA,2024-04-01,2024-04-01 13:12:00,SELL,64,692.29,44306.85
T00000104,TRD0001,GOOGL,2025-10-29,2025-10-29 13:40:00,SELL,120,804.84,96581.01
T00000105,TRD0001,HDFCBANK,2023-06-29,2023-06-29 11:03:00,SELL,151,1875.07,283136.13
T00000106,TRD0001,GOOGL,2023-07-11,2023-07-11 13:57:00,SELL,130,1151.04,149635.84
T00000107,TRD0001,AMZN,2022-09-23,2022-09-23 10:31:00,SELL,65,405.47,26355.8
T00000108,TRD0001,HDFCBANK,2023-08-25,2023-08-25 12:15:00,SELL,126,2022.86,254880.37
T00000109,TRD0001,RELIANCE,2022-06-07,2022-06-07 09:48:00,BUY,172,1805.97,310627.26
T00000110,TRD0001,RELIANCE,2023-10-10,2023-10-10 14:47:00,BUY,171,1999.22,341866.26
T00000111,TRD0001,AMZN,2020-12-31,2020-12-31 13:19:00,BUY,28,672.1,18818.79
T00000112,TRD0001,TSLA,2022-01-24,2022-01-24 10:18:00,SELL,58,740.13,42927.71
T00000113,TRD0001,TSLA,2024-01-24,2024-01-24 12:34:00,BUY,58,552.0,32015.82
T00000114,TRD0001,HDFCBANK,2023-01-27,2023-01-27 13:01:00,BUY,79,1519.73,120058.75
T00000115,TRD0001,TSLA,2024-10-25,2024-10-25 09:37:00,BUY,183,812.24,148639.97
T00000116,TRD0001,MSFT,2022-05-16,2022-05-16 11:31:00,SELL,152,2444.81,371611.18
T00000117,TRD0001,RELIANCE,2024-04-10,2024-04-10 12:10:00,SELL,148,1660.34,245730.11
T00000118,TRD0001,TSLA,2022-08-12,2022-08-12 10:25:00,SELL,36,633.83,22818.01
T00000119,TRD0001,TSLA,2022-02-24,2022-02-24 10:02:00,BUY,198,792.27,156869.27
T00000120,TRD0001,MSFT,2023-11-20,2023-11-20 14:06:00,SELL,83,4126.5,342499.78
T00000121,TRD0001,TSLA,2025-08-29,2025-08-29 10:29:00,SELL,10,830.02,8300.15
T00000122,TRD0001,MSFT,2024-04-09,2024-04-09 13:27:00,BUY,157,4093.23,642637.78
T00000123,TRD0001,RELIANCE,2024-05-24,2024-05-24 13:51:00,SELL,64,1713.86,109687.11
T00000124,TRD0001,GOOGL,2022-11-22,2022-11-22 11:30:00,BUY,15,979.42,14691.37
T00000125,TRD0001,RELIANCE,2024-10-10,2024-10-10 13:16:00,SELL,156,2408.12,375667.49
T00000126,TRD0001,GOOGL,2024-12-31,2024-12-31 10:39:00,SELL,100,1100.4,110040.4
T00000127,TRD0001,MSFT,2022-05-31,2022-05-31 11:21:00,SELL,59,2497.27,147338.64
T00000128,TRD0001,GOOGL,2025-05-06,2025-05-06 09:26:00,BUY,68,1096.83,74584.13
T00000129,TRD0001,AMZN,2025-10-20,2025-10-20 09:06:00,BUY,178,938.73,167094.72
T00000130,TRD0001,MSFT,2025-09-26,2025-09-26 11:34:00,BUY,170,9382.8,1595076.79
T00000131,TRD0001,TSLA,2023-08-28,2023-08-28 11:56:00,BUY,40,602.41,24096.36
T00000132,TRD0001,RELIANCE,2023-06-14,2023-06-14 09:59:00,BUY,95,1625.44,154416.72
T00000133,TRD0001,AMZN,2024-10-22,2024-10-22 11:59:00,BUY,56,781.25,43750.02
T00000134,TRD0001,TSLA,2023-01-16,2023-01-16 14:15:00,SELL,118,529.67,62501.39
T00000135,TRD0001,MSFT,2023-08-23,2023-08-23 14:33:00,SELL,15,4940.66,74109.92
T00000136,TRD0001,TSLA,2025-02-10,2025-02-10 10:17:00,SELL,23,936.49,21539.23
T00000137,TRD0001,AMZN,2022-07-19,2022-07-19 14:33:00,SELL,159,337.82,53713.35
T00000138,TRD0001,HDFCBANK,2021-08-04,2021-08-04 10:29:00,BUY,188,1078.47,202753.24
T00000139,TRD0001,MSFT,2025-11-26,2025-11-26 12:23:00,BUY,171,9019.29,1542297.94
T00000140,TRD0001,MSFT,2022-07-08,2022-07-08 12:21:00,SELL,199,2458.17,489176.05
T00000141,TRD0001,MSFT,2021-05-31,2021-05-31 09:32:00,SELL,191,1963.48,375024.63
T00000142,TRD0001,AAPL,2024-08-05,2024-08-05 14:37:00,BUY,103,2197.71,226363.86
T00000143,TRD0001,AAPL,2021-10-08,2021-10-08 10:05:00,BUY,60,1640.35,98420.72
T00000144,TRD0001,AMZN,2021-08-05,2021-08-05 13:19:00,SELL,100,564.4,56440.05
T00000145,TRD0001,MSFT,2023-05-09,2023-05-09 10:08:00,BUY,55,3244.79,178463.41
T00000146,TRD0001,MSFT,2021-12-29,2021-12-29 13:45:00,SELL,69,1577.26,108831.14
T00000147,TRD0001,MSFT,2022-03-29,2022-03-29 12:32:00,SELL,35,2213.85,77484.62
T00000148,TRD0001,GOOGL,2025-05-05,2025-05-05 09:36:00,SELL,71,1076.36,76421.73
T00000149,TRD0001,RELIANCE,2025-05-21,2025-05-21 14:20:00,SELL,165,2206.73,364110.89
T00000150,TRD0001,MSFT,2023-03-14,2023-03-14 10:30:00,BUY,75,3010.65,225798.65
T00000151,TRD0001,AMZN,2021-06-22,2021-06-22 14:11:00,BUY,123,669.14,82304.71
T00000152,TRD0001,HDFCBANK,2022-11-10,2022-11-10 09:53:00,SELL,24,1296.76,31122.21
T00000153,TRD0001,GOOGL,2021-01-20,2021-01-20 10:36:00,SELL,28,562.16,15740.42
T00000154,TRD0001,TSLA,2023-12-13,2023-12-13 09:08:00,BUY,143,527.23,75393.87
T00000155,TRD0001,AMZN,2024-01-17,2024-01-17 10:37:00,SELL,52,661.32,34388.4
T00000156,TRD0001,AMZN,2023-06-15,2023-06-15 10:17:00,SELL,33,463.26,15287.46
T00000157,TRD0001,AMZN,2024-02-22,2024-02-22 10:20:00,BUY,41,716.54,29378.02
T00000158,TRD0001,AAPL,2025-12-08,2025-12-08 13:13:00,BUY,188,3076.16,578318.3
T00000159,TRD0001,AAPL,2021-01-01,2021-01-01 12:38:00,SELL,127,1778.06,225813.69
T00000160,TRD0001,TSLA,2022-04-19,2022-04-19 12:38:00,SELL,88,671.47,59089.15
T00000161,TRD0001,AAPL,2024-03-29,2024-03-29 14:43:00,BUY,59,1893.49,111715.83
T00000162,TRD0001,RELIANCE,2025-04-30,2025-04-30 09:51:00,BUY,47,2238.52,105210.51
T00000163,TRD0001,TSLA,2024-01-18,2024-01-18 13:40:00,SELL,90,579.21,52128.9
T00000164,TRD0001,GOOGL,2023-02-28,2023-02-28 11:37:00,SELL,49,1117.68,54766.52
T00000165,TRD0001,MSFT,2025-09-03,2025-09-03 14:39:00,BUY,51,10402.96,530551.02
T00000166,TRD0001,AMZN,2023-06-19,2023-06-19 11:30:00,BUY,156,465.55,72626.04
T00000167,TRD0001,TSLA,2021-04-22,2021-04-22 11:24:00,BUY,193,376.65,72692.98
T00000168,TRD0001,RELIANCE,2021-09-20,2021-09-20 10:30:00,SELL,110,1603.56,176391.42
T00000169,TRD0001,AAPL,2021-05-07,2021-05-07 14:02:00,BUY,15,1767.23,26508.49
T00000170,TRD0001,AMZN,2025-01-22,2025-01-22 10:42:00,BUY,141,805.26,113542.21
T00000171,TRD0001,TSLA,2025-09-19,2025-09-19 14:07:00,SELL,36,817.5,29430.1
T00000172,TRD0001,AMZN,2024-05-13,2024-05-13 09:08:00,SELL,51,756.56,38584.8
T00000173,TRD0001,RELIANCE,2023-02-16,2023-02-16 11:09:00,SELL,37,1980.93,73294.26
T00000174,TRD0001,AMZN,2022-11-25,2022-11-25 12:55:00,BUY,27,424.12,11451.13
T00000175,TRD0001,RELIANCE,2022-12-05,2022-12-05 13:54:00,SELL,165,1775.91,293025.91
T00000176,TRD0001,MSFT,2025-06-04,2025-06-04 13:45:00,BUY,37,9477.05,350650.84
T00000177,TRD0001,AMZN,2022-03-15,2022-03-15 14:01:00,SELL,156,526.2,82087.03
T00000178,TRD0001,MSFT,2024-07-23,2024-07-23 13:29:00,SELL,113,4837.93,546685.89
T00000179,TRD0001,GOOGL,2024-01-05,2024-01-05 14:18:00,SELL,179,1028.01,184013.65
T00000180,TRD0001,HDFCBANK,2024-10-23,2024-10-23 11:42:00,SELL,68,3102.01,210937.01
T00000181,TRD0001,RELIANCE,2025-02-17,2025-02-17 11:50:00,BUY,139,2156.74,299787.42
T00000182,TRD0001,GOOGL,2021-06-11,2021-06-11 13:06:00,SELL,80,675.17,54013.31
T00000183,TRD0001,AAPL,2021-04-20,2021-04-20 13:47:00,BUY,77,1775.04,136678.3
T00000184,TRD0001,AMZN,2021-06-09,2021-06-09 12:45:00,SELL,103,675.96,69623.95
T00000185,TRD0001,RELIANCE,2022-10-17,2022-10-17 12:17:00,SELL,34,1537.45,52273.16
T00000186,TRD0001,RELIANCE,2021-06-29,2021-06-29 09:57:00,SELL,112,1451.4,162557.06
T00000187,TRD0001,HDFCBANK,2022-11-22,2022-11-22 14:10:00,SELL,128,1353.11,173197.61
T00000188,TRD0001,AAPL,2025-08-14,2025-08-14 13:00:00,SELL,88,2914.37,256464.52
T00000189,TRD0001,HDFCBANK,2024-10-30,2024-10-30 13:05:00,SELL,148,3108.97,460127.34
T00000190,TRD0001,AAPL,2023-07-10,2023-07-10 09:16:00,BUY,13,1407.12,18292.51
T00000191,TRD0001,RELIANCE,2023-03-28,2023-03-28 12:21:00,BUY,104,1874.57,194955.49
T00000192,TRD0001,HDFCBANK,2022-05-03,2022-05-03 14:38:00,SELL,111,1467.2,162858.68
T00000193,TRD0001,MSFT,2021-01-29,2021-01-29 13:44:00,SELL,132,1328.71,175390.07
T00000194,TRD0001,AAPL,2023-11-24,2023-11-24 09:11:00,SELL,76,1960.93,149030.91
T00000195,TRD0001,HDFCBANK,2021-05-21,2021-05-21 09:24:00,SELL,196,1272.42,249394.33
T00000196,TRD0001,TSLA,2025-05-26,2025-05-26 11:11:00,BUY,112,1087.96,121851.19
T00000197,TRD0001,GOOGL,2024-10-03,2024-10-03 14:31:00,SELL,159,982.9,156280.54
T00000198,TRD0001,HDFCBANK,2025-12-02,2025-12-02 09:25:00,BUY,114,2107.69,240276.38
T00000199,TRD0001,RELIANCE,2021-12-06,2021-12-06 14:40:00,BUY,65,2038.95,132531.44
T00000200,TRD0001,HDFCBANK,2021-07-28,2021-07-28 10:47:00,BUY,76,1147.39,87201.87
T00000201,TRD0001,GOOGL,2022-10-03,2022-10-03 11:05:00,SELL,61,1102.47,67250.86
T00000202,TRD0001,AMZN,2024-12-18,2024-12-18 09:59:00,BUY,69,795.09,54861.41
T00000203,TRD0001,HDFCBANK,2025-05-20,2025-05-20 12:39:00,SELL,116,3192.43,370321.82
T00000204,TRD0001,RELIANCE,2025-02-13,2025-02-13 09:52:00,BUY,180,2126.53,382775.1
T00000205,TRD0001,HDFCBANK,2022-07-12,2022-07-12 10:16:00,BUY,144,1382.38,199062.45
T00000206,TRD0001,HDFCBANK,2024-12-02,2024-12-02 13:32:00,SELL,193,3009.11,580758.33
T00000207,TRD0001,AMZN,2023-06-14,2023-06-14 13:40:00,BUY,28,469.86,13156.17
T00000208,TRD0002,RELIANCE,2025-01-13,2025-01-13 13:22:00,SELL,182,1936.78,352493.32
T00000209,TRD0002,GOOGL,2023-10-12,2023-10-12 13:37:00,BUY,155,1082.36,167765.42
T00000210,TRD0002,AMZN,2022-09-02,2022-09-02 12:42:00,BUY,129,380.24,49051.34
T00000211,TRD0002,TSLA,2021-04-22,2021-04-22 09:42:00,SELL,159,373.99,59464.41
T00000212,TRD0002,RELIANCE,2025-03-06,2025-03-06 13:05:00,BUY,187,2298.18,429760.09
T00000213,TRD0002,TSLA,2023-08-21,2023-08-21 09:17:00,BUY,45,593.59,26711.35
T00000214,TRD0002,AAPL,2021-02-15,2021-02-15 12:38:00,BUY,106,1639.21,173756.42
T00000215,TRD0002,AMZN,2025-09-29,2025-09-29 10:06:00,SELL,169,900.98,152264.89
T00000216,TRD0002,MSFT,2023-11-20,2023-11-20 09:13:00,SELL,66,4113.64,271500.1
T00000217,TRD0002,RELIANCE,2023-10-06,2023-10-06 10:05:00,BUY,103,1893.44,195023.92
T00000218,TRD0002,MSFT,2024-04-26,2024-04-26 14:00:00,BUY,67,4535.02,303846.14
T00000219,TRD0002,AMZN,2021-03-15,2021-03-15 10:37:00,BUY,119,734.14,87362.38
T00000220,TRD0002,GOOGL,2023-01-25,2023-01-25 09:01:00,SELL,126,1073.23,135226.68
T00000221,TRD0002,TSLA,2022-02-11,2022-02-11 10:04:00,BUY,151,794.85,120021.7
T00000222,TRD0002,AAPL,2023-09-20,2023-09-20 14:18:00,SELL,29,1822.57,52854.64
T00000223,TRD0002,GOOGL,2025-06-30,2025-06-30 10:33:00,SELL,69,1013.3,69917.85
T00000224,TRD0002,TSLA,2022-05-27,2022-05-27 09:30:00,SELL,56,615.5,34467.92
T00000225,TRD0002,AMZN,2024-09-16,2024-09-16 12:15:00,BUY,169,771.13,130321.26
T00000226,TRD0002,GOOGL,2021-03-17,2021-03-17 13:07:00,SELL,85,541.15,45998.05
T00000227,TRD0002,HDFCBANK,2021-11-23,2021-11-23 11:31:00,SELL,111,1687.87,187353.34
T00000228,TRD0002,AMZN,2025-11-21,2025-11-21 10:45:00,SELL,184,893.73,164446.34
T00000229,TRD0002,MSFT,2022-03-22,2022-03-22 11:18:00,BUY,128,2381.72,304859.98
T00000230,TRD0002,AMZN,2021-10-21,2021-10-21 09:27:00,SELL,122,659.35,80440.4
T00000231,TRD0002,AMZN,2022-08-08,2022-08-08 10:45:00,SELL,128,379.05,48518.92
T00000232,TRD0002,TSLA,2021-06-15,2021-06-15 13:14:00,SELL,157,333.86,52415.86
T00000233,TRD0002,AAPL,2022-03-22,2022-03-22 10:27:00,SELL,70,1112.68,77887.89
T00000234,TRD0002,AAPL,2022-12-02,2022-12-02 09:22:00,BUY,63,1202.41,75751.58
T00000235,TRD0002,RELIANCE,2023-12-13,2023-12-13 11:49:00,BUY,19,1597.61,30354.51
T00000236,TRD0002,TSLA,2021-07-26,2021-07-26 12:36:00,SELL,130,346.08,44990.16
T00000237,TRD0002,RELIANCE,2024-05-01,2024-05-01 12:26:00,SELL,158,1571.37,248276.84
T00000238,TRD0002,AAPL,2023-04-21,2023-04-21 11:51:00,BUY,162,1378.15,223260.93
T00000239,TRD0002,HDFCBANK,2021-07-26,2021-07-26 12:37:00,BUY,65,1123.13,73003.6
T00000240,TRD0002,AMZN,2022-07-29,2022-07-29 10:59:00,BUY,51,361.59,18440.84
T00000241,TRD0002,HDFCBANK,2023-12-29,2023-12-29 10:33:00,SELL,125,2360.09,295011.18
T00000242,TRD0002,MSFT,2021-09-08,2021-09-08 11:08:00,BUY,14,1777.71,24887.88
T00000243,TRD0002,AAPL,2024-08-30,2024-08-30 09:39:00,SELL,84,2362.68,198465.18
T00000244,TRD0002,HDFCBANK,2021-12-24,2021-12-24 13:02:00,SELL,90,1635.02,147151.37
T00000245,TRD0002,AMZN,2024-02-02,2024-02-02 14:43:00,BUY,16,667.27,10676.33
T00000246,TRD0002,GOOGL,2024-01-15,2024-01-15 09:40:00,SELL,178,1010.09,179796.78
T00000247,TRD0002,AMZN,2022-01-18,2022-01-18 12:01:00,SELL,10,597.3,5973.0
T00000248,TRD0002,GOOGL,2022-12-05,2022-12-05 10:52:00,BUY,14,968.04,13552.52
T00000249,TRD0002,TSLA,2021-11-29,2021-11-29 14:08:00,BUY,167,540.81,90314.72
T00000250,TRD0002,AMZN,2023-04-05,2023-04-05 10:26:00,BUY,169,511.38,86423.65
T00000251,TRD0002,GOOGL,2025-04-09,2025-04-09 10:53:00,BUY,84,911.23,76543.34
T00000252,TRD0002,HDFCBANK,2025-12-03,2025-12-03 12:51:00,BUY,41,2095.96,85934.25
T00000253,TRD0002,HDFCBANK,2020-12-25,2020-12-25 10:10:00,BUY,133,1277.96,169968.64
T00000254,TRD0002,GOOGL,2024-07-25,2024-07-25 12:08:00,BUY,166,1079.57,179209.25
T00000255,TRD0002,TSLA,2024-12-13,2024-12-13 11:06:00,SELL,15,979.82,14697.24
T00000256,TRD0002,AMZN,2022-04-12,2022-04-12 11:53:00,SELL,190,480.27,91251.88
T00000257,TRD0002,HDFCBANK,2022-03-07,2022-03-07 11:52:00,SELL,117,1522.7,178155.94
T00000258,TRD0002,TSLA,2025-08-19,2025-08-19 12:02:00,SELL,195,856.56,167028.84
T00000259,TRD0002,HDFCBANK,2023-07-21,2023-07-21 14:36:00,BUY,63,1908.18,120215.44
T00000260,TRD0002,HDFCBANK,2021-12-13,2021-12-13 11:05:00,SELL,56,1640.64,91875.78
T00000261,TRD0002,TSLA,2021-05-07,2021-05-07 09:11:00,SELL,105,372.84,39148.64
T00000262,TRD0002,AAPL,2025-01-28,2025-01-28 09:42:00,SELL,23,2913.25,67004.78
T00000263,TRD0002,AMZN,2025-10-08,2025-10-08 12:28:00,BUY,160,905.76,144921.07
T00000264,TRD0002,HDFCBANK,2022-12-08,2022-12-08 13:11:00,SELL,181,1309.03,236934.27
T00000265,TRD0002,RELIANCE,2021-12-24,2021-12-24 09:49:00,BUY,185,1774.61,328302.01
